,单词,中文释义,音标,学期,单元
285,rabbit,兔子,,三年级上册,Unit10-11
286,fish,鱼,,三年级上册,Unit10-11
287,its,它的,[ɪts],三年级上册,Unit10-11
288,tail,尾巴,[teɪl],三年级上册,Unit10-11
289,what,什么,[wɒt],三年级上册,Unit10-11
290,spring,春天,[sprɪŋ],三年级上册,Unit12
291,summer,夏天,['sʌmə],三年级上册,Unit12
292,autumn,秋天,['ɔːtəm],三年级上册,Unit12
293,winter,冬天,['wɪntə],三年级上册,Unit12
294,cold,寒冷的,[kəʊld],三年级上册,Unit12
295,cool,凉爽的,[kuːl],三年级上册,Unit12
296,hot,炎热的,,三年级上册,Unit12
297,warm,温暖的,[wɔːm],三年级上册,Unit12
298,in,在（某段时间）内,,三年级上册,Unit12
299,black,黑色的,[blæk],三年级下册,Unit1-2
300,blue,蓝色的,[bluː],三年级下册,Unit1-2
301,green,绿色的,[griːn],三年级下册,Unit1-2
302,red,红色的,[red],三年级下册,Unit1-2
303,white,白色的,[waɪt],三年级下册,Unit1-2
304,yellow,黄色的,['jeləʊ],三年级下册,Unit1-2
305,and,和；同,[ənd; (ə)n; ænd],三年级下册,Unit1-2
306,ball,球,[bɔːl],三年级下册,Unit1-2
307,colour,颜色,['kʌlə],三年级下册,Unit1-2
308,candy,糖果,['kændɪ],三年级下册,Unit1-2
309,ice cream,冰淇淋,[aɪs kri:m],三年级下册,Unit1-2
310,lemon,柠檬,['lemən],三年级下册,Unit1-2
311,how,怎么；怎样,[haʊ],三年级下册,Unit1-2
312,orange,橙色的,['ɒrɪn(d)ʒ],三年级下册,Unit1-2
313,sour,酸的,[saʊə],三年级下册,Unit1-2
314,sweet,甜的,[swiːt],三年级下册,Unit1-2
315,taste,味道；尝,[teɪst],三年级下册,Unit1-2
316,bike,自行车,[baɪk],三年级下册,Unit3-4
317,bus,公共汽车；巴士,[bʌs],三年级下册,Unit3-4
318,plane,飞机,[pleɪn],三年级下册,Unit3-4
319,ship,船,[ʃɪp],三年级下册,Unit3-4
320,car,小汽车,[kɑː],三年级下册,Unit3-4
321,train,火车,[treɪn],三年级下册,Unit3-4
322,can,能,[kæn],三年级下册,Unit3-4
323,hear,听见,[hɪə],三年级下册,Unit3-4
324,listen,听,['lɪs(ə)n],三年级下册,Unit3-4
325,bear,熊,[beə],三年级下册,Unit3-4
326,elephant,象,['elɪf(ə)nt],三年级下册,Unit3-4
327,lion,狮子,['laɪən],三年级下册,Unit3-4
328,monkey,猴子,['mʌŋkɪ],三年级下册,Unit3-4
329,panda,熊猫,['pændə],三年级下册,Unit3-4
330,tiger,老虎,['taɪgə],三年级下册,Unit3-4
331,like,像，喜欢,[laɪk],三年级下册,Unit3-4
332,man,男人（复数 men）,[mæn],三年级下册,Unit3-4
333,old,旧的；老的,[əʊld],三年级下册,Unit3-4
334,our,我们的,[aʊə],三年级下册,Unit3-4
335,strong,强壮的；坚固的,[strɒŋ],三年级下册,Unit3-4
336,kite,风筝,[kaɪt],三年级下册,Unit5-6
337,robot,机器人,['rəʊbɒt],三年级下册,Unit5-6
338,toy bear,玩具熊,[tɒɪ],三年级下册,Unit5-6
339,fun,乐趣,[fʌn],三年级下册,Unit5-6
340,lovely,可爱的,['lʌvlɪ],三年级下册,Unit5-6
341,play,玩,[pleɪ],三年级下册,Unit5-6
342,sorry,对不起,['sɒrɪ],三年级下册,Unit5-6
343,biscuit,饼干,['bɪskɪt],三年级下册,Unit5-6
344,bread,面包,[bred],三年级下册,Unit5-6
345,egg,鸡蛋,[eg],三年级下册,Unit5-6
346,juice,果汁,[dʒuːs],三年级下册,Unit5-6
347,milk,牛奶,[mɪlk],三年级下册,Unit5-6
348,water,水,['wɔːtə],三年级下册,Unit5-6
349,breakfast,早餐,['brekfəst],三年级下册,Unit5-6
350,child,孩子 [tʃaɪld] （复数 children）,['tʃɪldrən],三年级下册,Unit5-6
351,have,有,[hæv],三年级下册,Unit5-6
352,some,一些,[sʌm;səm],三年级下册,Unit5-6
353,too,也；还,[tuː],三年级下册,Unit5-6
354,we,我们,[wiː],三年级下册,Unit5-6
355,dance,跳舞,[dɑːns],三年级下册,Unit7-8
356,paint,用颜料画,[peɪnt],三年级下册,Unit7-8
357,read,阅读,[ri:d],三年级下册,Unit7-8
358,sing,唱歌,[sɪŋ],三年级下册,Unit7-8
359,skate,滑冰,[skeɪt],三年级下册,Unit7-8
360,swim,游泳,[swɪm],三年级下册,Unit7-8
361,at home,在家,,三年级下册,Unit7-8
362,come in,进来,,三年级下册,Unit7-8
363,sleep,睡觉,[sliːp],三年级下册,Unit7-8
364,work,工作,[wɜːk],三年级下册,Unit7-8
365,worker,劳动者,['wɜːkə],三年级下册,Unit7-8
366,cake,蛋糕,[keɪk],三年级下册,Unit7-8
367,card,卡；卡片,[kɑːd],三年级下册,Unit7-8
368,noodle,面条,['nuːd(ə)l],三年级下册,Unit7-8
369,birthday,生日,['bɜːθdeɪ],三年级下册,Unit7-8
370,dear,亲爱的,[dɪə],三年级下册,Unit7-8
371,for,给；为了,,三年级下册,Unit7-8
372,how old,多大（年纪）,,三年级下册,Unit7-8
373,to,给；向,,三年级下册,Unit7-8
374,cow,母牛,[kaʊ],三年级下册,Unit9-10
375,horse,马,[hɔːs],三年级下册,Unit9-10
376,pig,猪,[pɪg],三年级下册,Unit9-10
377,sheep,绵羊（复数 sheep）,[ʃiːp],三年级下册,Unit9-10
378,bye,再见,[baɪ],三年级下册,Unit9-10
379,farm,农场,[fɑːm],三年级下册,Unit9-10
380,grass,草,[grɑːs],三年级下册,Unit9-10
381,great,很好的；很棒的,[greɪt],三年级下册,Unit9-10
382,litter,乱扔（垃圾）,['lɪtə],三年级下册,Unit9-10
383,stone,石头,[stəʊn],三年级下册,Unit9-10
384,throw,扔,[θrəʊ],三年级下册,Unit9-10
385,head,头,[hed],三年级下册,Unit9-10
386,body,身体,['bɒdɪ],三年级下册,Unit9-10
387,arm,手臂,[ɑːm],三年级下册,Unit9-10
388,hand,手,[hænd],三年级下册,Unit9-10
389,leg,腿,[leg],三年级下册,Unit9-10
390,foot,脚；足（复数 feet）,[fʊt],三年级下册,Unit9-10
391,flower,花,['flaʊə],三年级下册,Unit11-12
392,photo,照片,['fəʊtəʊ],三年级下册,Unit11-12
393,tea,茶,[tiː],三年级下册,Unit11-12
394,cup,杯子,[kʌp],三年级下册,Unit11-12
395,day,天;日,[deɪ],三年级下册,Unit11-12
396,do,做,[duː],三年级下册,Unit11-12
397,idea,主意,[aɪ'dɪə],三年级下册,Unit11-12
398,love,爱,[lʌv],三年级下册,Unit11-12
399,afraid(of),害怕…,[ə'freɪd],三年级下册,Unit11-12
400,bad,坏的,[bæd],三年级下册,Unit11-12
401,go,去；走,[gəʊ],三年级下册,Unit11-12
402,house,房屋,[haʊs],三年级下册,Unit11-12
403,little,小的,['lɪt(ə)l],三年级下册,Unit11-12
404,make,做,[meɪk],三年级下册,Unit11-12
405,now,现在,[naʊ],三年级下册,Unit11-12
406,there,那里,[ðeə],三年级下册,Unit11-12
407,very,很；非常,['verɪ],三年级下册,Unit11-12
408,meet,相识；结识,[miːt],四年级上册,Unit1
409,new,新的,[njuː],四年级上册,Unit1
410,morning,早晨；上午,['mɔːnɪŋ],四年级上册,Unit1
411,classmate,同班同学,['klɑːsmeɪt],四年级上册,Unit1
412,her,她的,[hɜː],四年级上册,Unit1
413,name,名字,[neɪm],四年级上册,Unit1
414,sit,坐,[sɪt],四年级上册,Unit1
415,afternoon,下午,[ɑːftə'nuːn],四年级上册,Unit1
416,his,他的,[hɪz],四年级上册,Unit1
417,run,跑,[rʌn],四年级上册,Unit2
418,fast,快地；迅速地；快的,[fɑːst],四年级上册,Unit2
419,fly,飞；放飞,[flaɪ],四年级上册,Unit2
420,draw,画画,[drɔː],四年级上册,Unit2
421,write,写字；书写,[raɪt],四年级上册,Unit2
422,jump,跳,[dʒʌmp],四年级上册,Unit2
423,welcome,欢迎,[ˈwelkəm],四年级上册,Unit2
424,woof,（狗叫声）汪汪,[wʊf],四年级上册,Unit2
425,but,但是,[bʌt; bət],四年级上册,Unit2
426,happy,开心的,['hæpɪ],四年级上册,Unit3
427,sad,难过的；悲哀的,[sæd],四年级上册,Unit3
428,tired,累的；疲惫的,[taɪəd],四年级上册,Unit3
429,hungry,饥饿的,['hʌŋgrɪ],四年级上册,Unit3
430,full,饱的,[fʊl],四年级上册,Unit3
431,thirsty,口渴的,['θɜːstɪ],四年级上册,Unit3
432,bird,鸟,[bɜːd],四年级上册,Unit3
433,see,看见,[siː],四年级上册,Unit3
434,bottle,瓶子,['bɒt(ə)l],四年级上册,Unit3
435,drink,喝,[drɪŋk],四年级上册,Unit3
436,any,任何的,['enɪ],四年级上册,Unit4
437,cousin ,(堂)表兄弟；姐妹,['kʌz(ə)n],四年级上册,Unit4
438,family,家庭,[ˈfæməlɪ],四年级上册,Unit4
439,parent,父亲；母亲,['peər(ə)nt],四年级上册,Unit4
440,grandparent,（外）祖父；祖母,['græn(d)peər(ə)nt],四年级上册,Unit4
441,son,儿子,[sʌn],四年级上册,Unit4
442,grandfather(grandpa),（外）祖父；爷爷；外公,,四年级上册,Unit4
443,grandmother(grandma),（外）祖母；奶奶；外婆,,四年级上册,Unit4
444,uncle,叔叔；伯伯；舅舅；姑父；姨父,['ʌŋk(ə)l],四年级上册,Unit4
445,aunt,姑妈；姨妈；伯母；婶婶；舅妈,[ɑːnt],四年级上册,Unit4
446,that,那个,[ðæt],四年级上册,Unit4
447,T-shirt    T,恤衫,"['ti, ʃɜ:t]",四年级上册,Unit5
448,brown,棕色的；棕色,[braʊn],四年级上册,Unit5
449,shorts,短裤,[ʃɔːts],四年级上册,Unit5
450,ride,骑（马；自行车）,[raɪd],四年级上册,Unit5
451,skirt,短裙,[skɜːt],四年级上册,Unit5
452,dress,连衣裙,[dres],四年级上册,Unit5
453,shirt,（男式）衬衫,[ʃɜːt],四年级上册,Unit5
454,tooth,牙齿,[tuːθ],四年级上册,Unit5
455,sharp,锋利的；尖的,[ʃɑːp],四年级上册,Unit5
456,help,帮助,[help],四年级上册,Unit5
457,a pair of,一条；一副；一双,[peə],四年级上册,Unit5
458,get out,出去,[get aʊt],四年级上册,Unit5
459,nurse,护士,[nɜːs],四年级上册,Unit6
460,fireman,消防员,['faɪəmən],四年级上册,Unit6
461,teacher,老师,['tiːtʃə],四年级上册,Unit6
462,doctor,医生,['dɒktə],四年级上册,Unit6
